PERIOD_BEGIN;PERIOD;VALOR;INSTR_TYPE;TYPE_OF_SECURITY;GK;DOMICILE;TAX_APPLICABILITY_333;TAX_PARTICULARITY_333;TAX_PECULIARITY_333;DELTA_SIX_CALC;DELTA_3RD_PARTY;NR_871M;DELTA_AT_ISSU_MIN_871M;DELTA_AT_ISSU_MAX_871M;NR_DELTA_AT_ISSU_E100_871M;NR_DELTA_AT_ISSU_G095_871M;NR_DELTA_AT_ISSU_G080_871M;NR_DELTA_AT_ISSU_G075_871M;NR_NON_871M;DELTA_AT_ISSU_MIN_NON_871M;DELTA_AT_ISSU_MAX_NON_871M;NR_DELTA_AT_ISSU_E100_NON_871M;NR_DELTA_AT_ISSU_G095_NON_871M;NR_DELTA_AT_ISSU_G080_NON_871M;NR_DELTA_AT_ISSU_G075_NON_871M;NR_XSD_297
20180605;d;60675335;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61452736;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61452739;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511839;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511841;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511844;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675354;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675362;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;3311757;12;6;611961;864;41.0;;;;;;;;;;;;1.0;;;;;;;
20180605;d;61511834;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60782496;4;Z;709030;333;34.0;;;-0.11597;;;;;;;;;;;;;;;;
20180605;d;61511859;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675489;4;Z;709030;333;34.0;;;0.25375;;;;;;;;;;;;;;;;
20180605;d;61449962;4;Z;709030;333;34.0;;;1.0;;;;;;;;;;;;;;;;
20180605;d;61511888;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;60675352;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675363;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450005;4;Z;709030;333;34.0;;;-0.54456;;;;;;;;;;;;;;;;
20180605;d;61449974;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675369;4;Z;709030;333;34.0;;;0.50366;;;;;;;;;;;;;;;;
20180605;d;60675372;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61449999;4;Z;709030;333;34.0;;;-0.60153;;;;;;;;;;;;;;;;
20180605;d;61450023;4;Z;709030;333;34.0;;;-0.13654;;;;;;;;;;;;;;;;
20180605;d;61450043;4;Z;709030;333;34.0;;;-0.12156;;;;;;;;;;;;;;;;
20180605;d;61511902;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511913;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60617635;4;Z;709030;333;34.0;;;0.93604;;;;;;;;;;;;;;;;
20180605;d;60617668;4;Z;709030;333;34.0;;;-0.24836;;;;;;;;;;;;;;;;
20180605;d;61450051;4;Z;709030;333;34.0;;;-0.10315;;;;;;;;;;;;;;;;
20180605;d;61511915;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511925;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60617834;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60617747;4;Z;709030;333;34.0;;;0.17262;;;;;;;;;;;;;;;;
20180605;d;60617756;4;Z;709030;333;34.0;;;-0.72083;;;;;;;;;;;;;;;;
20180605;d;60617768;4;Z;709030;333;34.0;;;-0.38666;;;;;;;;;;;;;;;;
20180605;d;61450116;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450132;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450018;4;Z;709030;333;34.0;;;0.69748;;;;;;;;;;;;;;;;
20180605;d;61450054;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450035;4;Z;709030;333;34.0;;;-0.1785;;;;;;;;;;;;;;;;
20180605;d;60617799;4;Z;709030;333;34.0;;;0.02419;;;;;;;;;;;;;;;;
20180605;d;60617680;4;Z;709030;333;34.0;;;-0.01188;;;;;;;;;;;;;;;;
20180605;d;61449996;4;Z;709030;333;34.0;;;0.34858;;;;;;;;;;;;;;;;
20180605;d;61450006;4;Z;709030;333;34.0;;;0.46458;;;;;;;;;;;;;;;;
20180605;d;60675478;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675518;4;Z;709030;333;34.0;;;-0.15791;;;;;;;;;;;;;;;;
20180605;d;61557226;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675500;4;Z;709030;333;34.0;;;-0.53663;;;;;;;;;;;;;;;;
20180605;d;60675506;4;Z;709030;333;34.0;;;-0.03863;;;;;;;;;;;;;;;;
20180605;d;60675513;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675516;4;Z;709030;333;34.0;;;-0.16926;;;;;;;;;;;;;;;;
20180605;d;61511926;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511935;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60617645;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60617726;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675530;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675534;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675566;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675547;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450081;4;Z;709030;333;34.0;;;-0.67627;;;;;;;;;;;;;;;;
20180605;d;61511952;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675662;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675665;4;Z;709030;333;34.0;;;0.83155;;;;;;;;;;;;;;;;
20180605;d;60675671;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450136;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675619;4;Z;709030;333;34.0;;;0.18501;;;;;;;;;;;;;;;;
20180605;d;61450205;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450219;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450221;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450225;4;Z;709030;333;34.0;;;-0.76225;;;;;;;;;;;;;;;;
20180605;d;60675673;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675678;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450159;4;Z;709030;333;34.0;;;-0.73086;;;;;;;;;;;;;;;;
20180605;d;61450164;4;Z;709030;333;34.0;;;0.69444;;;;;;;;;;;;;;;;
20180605;d;61450171;4;Z;709030;333;34.0;;;-0.03981;;;;;;;;;;;;;;;;
20180605;d;61557239;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61557243;4;Z;709030;333;34.0;;;-0.71301;;;;;;;;;;;;;;;;
20180605;d;61557250;4;Z;709030;333;34.0;;;0.4641;;;;;;;;;;;;;;;;
20180605;d;60617678;4;Z;709030;333;34.0;;;-0.02348;;;;;;;;;;;;;;;;
20180605;d;60617829;4;Z;709030;333;34.0;;;0.03598;;;;;;;;;;;;;;;;
20180605;d;61450240;4;Z;709030;333;34.0;;;0.7551;;;;;;;;;;;;;;;;
20180605;d;61450129;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450288;4;Z;709030;333;34.0;;;0.25929;;;;;;;;;;;;;;;;
20180605;d;61450178;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450183;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450200;4;Z;709030;333;34.0;;;0.03016;;;;;;;;;;;;;;;;
20180605;d;61450312;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675704;4;Z;709030;333;34.0;;;-0.56459;;;;;;;;;;;;;;;;
20180605;d;60675710;4;Z;709030;333;34.0;;;-0.01571;;;;;;;;;;;;;;;;
20180605;d;60675716;4;Z;709030;333;34.0;;;-0.01419;;;;;;;;;;;;;;;;
20180605;d;61450357;4;Z;709030;333;34.0;;;-0.33191;;;;;;;;;;;;;;;;
20180605;d;61450367;4;Z;709030;333;34.0;;;-0.04441;;;;;;;;;;;;;;;;
20180605;d;61450197;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450199;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450202;4;Z;709030;333;34.0;;;0.02598;;;;;;;;;;;;;;;;
20180605;d;60675583;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450180;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675699;4;Z;709030;333;34.0;;;0.03784;;;;;;;;;;;;;;;;
20180605;d;60675700;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450186;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
